"Lon","Lat","bird"
-27.4661858557745,-58.0158943792083,196697
-25.0343158557745,-57.7260943792083,196697
-25.0274558557745,-57.4182943792083,196697
-24.6707358557745,-57.4362943792083,196697
-27.6376858557745,-57.6090943792083,196697
-26.8316358557745,-57.7674943792083,196697
-25.4013258557745,-58.3866943792083,196697
-26.9516858557745,-57.6270943792083,196697
-26.0564558557745,-57.7710943792083,196697
-27.7268658557745,-57.7008943792083,196697
-25.6620058557745,-57.3426943792083,196697
-25.0308858557745,-57.6378943792083,196697
-25.9741358557745,-57.5388943792083,196697
-26.2999858557745,-57.6072943792083,196697
-27.0717358557745,-57.9546943792083,196697
-24.9348458557745,-58.2804943792083,196697
-25.0068758557745,-58.0176943792083,196697
-27.7268658557745,-57.7782943792083,196697
-27.2123658557745,-58.2822943792083,196697
-27.3392758557745,-57.5784943792083,196697
-24.9314158557745,-58.3092943792083,196697
-25.3361558557745,-58.2156943792083,196697
-27.0785958557745,-57.5460943792083,196697
-26.2382458557745,-58.2624943792083,196697
-26.5572358557745,-58.0284943792083,196697
-27.7234358557745,-57.7368943792083,196697
-26.3960258557745,-57.6126943792083,196697
-27.8880758557745,-58.2516943792083,196697
-25.7168858557745,-58.1526943792083,196697
-27.3770058557745,-57.6576943792083,196697
-24.7153258557745,-58.0194943792083,196697
-25.1200658557745,-57.5262943792083,196697
-25.1303558557745,-57.5172943792083,196697
-27.0923158557745,-57.7494943792083,196697
-25.3155758557745,-57.4866943792083,196697
-27.1197558557745,-57.5442943792083,196697
-26.7287358557745,-57.4362943792083,196697
-26.8179158557745,-57.7818943792083,196697
-27.8057558557745,-57.5856943792083,196697
-27.1197558557745,-58.1832943792083,196697
-26.4611958557745,-58.3560943792083,196697
-24.8182258557745,-57.5262943792083,196697
-25.1234958557745,-58.2678943792083,196697
-27.5793758557745,-58.4082943792083,196697
-24.9348458557745,-57.8664943792083,196697
-24.8182258557745,-57.3264943792083,196697
-24.6947458557745,-58.3524943792083,196697
-26.3823058557745,-57.5856943792083,196697
-27.7783158557745,-57.6234943792083,196697
-24.7564858557745,-58.0230943792083,196697
-27.0888858557745,-58.2624943792083,196697
-25.6345658557745,-58.1310943792083,196697
-26.9894158557745,-57.4902943792083,196697
-25.0754758557745,-58.2678943792083,196697
-26.0530258557745,-58.2588943792083,196697
-26.5092158557745,-58.3938943792083,196697
-26.9894158557745,-57.5100943792083,196697
-26.0941858557745,-57.6270943792083,196697
-26.7253058557745,-57.7674943792083,196697
-26.4234658557745,-58.1814943792083,196697
-25.4699258557745,-57.9978943792083,196697
-24.9828658557745,-58.3398943792083,196697
-26.3925958557745,-57.4524943792083,196697
-27.1369058557745,-57.4434943792083,196697
-27.1403358557745,-57.7872943792083,196697
-26.8590758557745,-57.6864943792083,196697
-27.1266158557745,-57.2940943792083,196697
-24.8456658557745,-57.8304943792083,196697
-24.6775958557745,-57.6126943792083,196697
-27.8674958557745,-57.8016943792083,196697
-26.9654058557745,-57.7530943792083,196697
-26.3720158557745,-57.9006943792083,196697
-25.5316658557745,-57.5334943792083,196697
-25.1577958557745,-57.8700943792083,196697
-26.4852058557745,-57.5532943792083,196697
-27.0683058557745,-57.6396943792083,196697
-27.5244958557745,-58.3002943792083,196697
-27.2638158557745,-57.9978943792083,196697
-27.2329458557745,-57.4830943792083,196697
-27.6479758557745,-57.5568943792083,196697
-25.8780958557745,-57.5460943792083,196697
-27.3667158557745,-58.0266943792083,196697
-24.6673058557745,-58.0950943792083,196697
-25.9672758557745,-57.9726943792083,196697
-25.1406458557745,-58.0032943792083,196697
-27.0785958557745,-58.2156943792083,196697
-27.2260858557745,-57.5514943792083,196697
-27.9429558557745,-58.2048943792083,196697
-26.3137058557745,-58.1526943792083,196697
-27.1094658557745,-57.5748943792083,196697
-25.6242758557745,-57.8610943792083,196697
-27.5142058557745,-58.2642943792083,196697
-27.2672458557745,-58.0122943792083,196697
-26.8865158557745,-57.6972943792083,196697
-26.0530258557745,-58.0194943792083,196697
-27.8674958557745,-57.6792943792083,196697
-27.8880758557745,-58.0176943792083,196697
-25.6585758557745,-57.3552943792083,196697
-26.9962758557745,-57.4002943792083,196697
-27.1574858557745,-58.2066943792083,196697
-27.1814958557745,-58.4064943792083,196697
-26.5263658557745,-57.7080943792083,196697
-26.0530258557745,-58.2030943792083,196697
-26.4577658557745,-57.3408943792083,196697
-25.3910358557745,-57.4092943792083,196697
-27.2535258557745,-58.0788943792083,196697
-27.7028558557745,-57.6126943792083,196697
-26.2622558557745,-58.0482943792083,196697
